region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
EUR,GBR,HG00259,HG00259,-0.0119,-0.0502,0.0012,-0.0004,0.017,0.0221,-0.0286,0.0016,-0.0414,-0.0263,-0.0078,0.0064,0.0556,0.0071,0.0686
EUR,GBR,HG00260,HG00260,-0.006,-0.0589,0.0064,0.0199,-0.0077,0.0108,0.0177,-0.0078,0.0027,-0.0013,0.0426,0.0011,0.0244,-0.0201,-0.0626
EUR,GBR,HG00261,HG00261,-0.0215,-0.039,-0.0038,0.0142,0.0144,-0.0551,0.0078,0.0036,0.0361,0.0108,-0.0,-0.0369,-0.0028,0.0354,-0.011
EUR,GBR,HG00262,HG00262,-0.0226,-0.0359,0.0206,-0.0167,0.0352,0.0033,-0.0118,0.0087,0.0181,-0.0166,-0.0233,-0.017,0.0646,0.006,0.0125
EUR,GBR,HG00263,HG00263,-0.0226,-0.0505,-0.035,-0.0354,-0.0775,0.0327,-0.0336,0.0129,0.0277,0.0082,0.0287,-0.0212,0.0006,-0.0011,0.0132
EUR,GBR,HG00264,HG00264,-0.0082,-0.0539,-0.0135,0.009,0.0068,0.0346,0.0102,0.0024,-0.0405,-0.0045,-0.0291,0.0533,0.0038,-0.0084,0.0023
EUR,GBR,HG00265,HG00265,-0.0134,-0.0636,0.0046,-0.0015,-0.0219,0.002,0.0116,0.0277,-0.0842,-0.0255,-0.011,-0.0217,-0.0146,0.0183,0.0208
EUR,GBR,HG01334,HG01334,-0.0124,-0.0491,0.0268,-0.0324,0.0096,-0.017,-0.0157,-0.0348,0.0005,0.0355,-0.0179,-0.0055,-0.0241,-0.0378,-0.0307
EUR,GBR,HG01789,HG01789,-0.0094,-0.0353,0.0048,0.0105,0.0336,0.0275,-0.042,-0.0122,0.0216,0.0053,0.0529,0.0081,0.0287,-0.0015,0.0639
EUR,GBR,HG01790,HG01790,-0.0134,-0.061,0.0194,0.0112,-0.0058,0.0042,-0.0174,-0.0026,0.0149,-0.0196,0.0013,-0.0139,0.0219,-0.0645,0.0169
EUR,GBR,HG01791,HG01791,-0.0096,-0.0561,0.0135,0.0131,0.0039,0.0124,-0.0151,-0.0117,0.0223,-0.0351,0.0527,-0.0624,0.0241,0.0182,0.0057
EUR,GBR,HG02215,HG02215,-0.0202,-0.0246,-0.0256,0.026,-0.0096,0.0059,-0.05,0.032,0.0234,-0.0114,-0.0015,-0.0351,0.0763,-0.0049,-0.002
EUR,IBS,HG01500,HG01500,-0.0077,-0.0521,0.0015,-0.0166,0.0018,-0.0251,0.0244,-0.0159,0.0237,0.0097,0.0147,0.0288,0.0224,-0.0435,-0.0607
EUR,IBS,HG01501,HG01501,-0.0195,-0.0658,0.0154,0.0097,-0.0113,0.0033,-0.008,-0.0117,0.0044,-0.0005,0.0212,-0.0068,0.0041,0.0068,0.0123
EUR,IBS,HG01503,HG01503,-0.0044,-0.0293,-0.0551,-0.0252,-0.0122,-0.0482,-0.0222,0.0008,0.027,-0.0182,0.023,-0.0487,0.0045,0.0206,0.0409
EUR,IBS,HG01504,HG01504,-0.005,-0.0386,0.0256,0.0206,-0.0045,0.0002,-0.0079,0.0164,0.0454,0.03,0.0202,-0.0595,0.0629,0.0002,-0.0141
EUR,IBS,HG01506,HG01506,-0.0001,-0.0282,0.0211,-0.0272,0.0223,-0.0233,0.0038,-0.0179,0.0715,0.0533,-0.017,-0.0291,-0.0395,0.0872,0.0489
EUR,IBS,HG01507,HG01507,-0.0101,-0.0596,0.0158,0.0151,-0.0177,0.0159,0.0098,-0.0065,0.0088,0.024,-0.0018,0.0409,0.0045,-0.0316,-0.0421
EUR,IBS,HG01509,HG01509,-0.0082,-0.0488,0.0148,0.0148,-0.0114,0.0186,0.0172,0.0242,-0.0507,-0.0112,0.0448,0.021,-0.0277,-0.0186,-0.034
EUR,IBS,HG01510,HG01510,-0.0221,-0.0354,0.0337,-0.021,0.0003,-0.0223,0.0187,0.0414,-0.0343,0.0066,0.0115,-0.0087,-0.0117,0.0154,0.0078
EUR,IBS,HG01512,HG01512,0.0004,-0.0523,0.0034,0.0211,-0.009,0.0045,-0.005,-0.0083,0.0489,-0.014,0.0191,-0.0062,0.036,-0.0473,-0.0421
EUR,IBS,HG01513,HG01513,-0.0227,-0.0217,-0.0138,-0.0737,0.0263,0.0026,0.0212,0.012,0.0241,0.0482,-0.0331,-0.0043,0.0254,-0.0329,-0.0309
EUR,IBS,HG01515,HG01515,-0.0173,-0.0363,0.0322,0.0037,0.0216,0.0422,-0.0574,-0.0212,-0.0221,0.0319,0.0207,0.016,-0.0206,0.0083,-0.0076
EUR,IBS,HG01516,HG01516,-0.0137,-0.0423,-0.0241,0.0355,0.0264,0.0042,-0.0358,0.0062,-0.0218,-0.0515,-0.007,-0.0315,0.0165,0.0127,0.0173
EUR,IBS,HG01518,HG01518,-0.0139,-0.0528,-0.0116,-0.0153,-0.0387,0.018,-0.0086,0.014,0.039,-0.0116,0.0179,0.0045,-0.0244,0.022,0.0555
EUR,IBS,HG01519,HG01519,-0.0091,-0.0448,-0.0026,-0.0624,0.0331,-0.0646,0.0314,-0.0311,0.0201,0.0327,0.0246,0.0111,0.032,-0.0506,0.0011
EUR,IBS,HG01521,HG01521,-0.0167,-0.0436,0.0097,0.017,0.0299,0.0244,0.0013,0.0164,0.0288,0.0212,-0.0207,0.0116,0.0211,0.0446,0.0701
EUR,IBS,HG01522,HG01522,-0.0096,-0.0335,0.0269,0.0385,-0.0533,0.0141,0.0406,-0.0209,0.0223,0.0284,-0.0168,0.0576,0.0428,0.0363,-0.0576
EUR,IBS,HG01524,HG01524,0.0065,-0.043,-0.0285,-0.0292,-0.0607,-0.0071,-0.0271,-0.0151,-0.025,0.0496,-0.0197,0.0591,-0.013,0.0043,0.0589
EUR,IBS,HG01525,HG01525,-0.0142,-0.0507,-0.0041,-0.0178,-0.0484,0.0116,-0.0379,0.0046,0.0226,-0.0222,0.0234,-0.0087,0.0346,-0.007,0.0502
EUR,IBS,HG01527,HG01527,-0.0103,-0.0375,0.0184,-0.0182,-0.0018,-0.0092,0.0415,-0.008,-0.0059,-0.0722,-0.0323,-0.0193,-0.0149,-0.0562,0.0355
EUR,IBS,HG01528,HG01528,-0.0126,-0.0301,0.0115,-0.0271,0.0505,0.0276,0.0211,0.0318,-0.0291,-0.0047,-0.0028,0.0281,-0.0485,-0.0387,0.0047
EUR,IBS,HG01530,HG01530,-0.0112,-0.0484,0.0223,0.0168,0.0155,0.0206,0.0118,0.0202,0.0118,-0.0097,0.0594,-0.0082,-0.0538,-0.0307,0.0127
EUR,IBS,HG01531,HG01531,-0.0174,-0.0318,0.0244,-0.0101,-0.0103,-0.0334,0.0419,-0.034,0.0126,0.0255,0.0096,-0.0154,0.0563,0.0166,0.0293
EUR,IBS,HG01536,HG01536,-0.0118,-0.0528,-0.0187,-0.0224,-0.0463,0.0219,0.0089,0.0565,-0.0482,-0.043,-0.0171,-0.0248,-0.0443,0.0237,0.038
EUR,IBS,HG01537,HG01537,-0.0128,-0.0394,0.0005,0.0239,0.0131,0.0366,-0.0021,-0.0462,0.0074,-0.0157,-0.0106,-0.0102,0.0379,-0.0731,0.0291
EUR,IBS,HG01602,HG01602,-0.0039,-0.0371,-0.0035,0.0296,0.0492,0.0376,0.008,0.0269,0.0701,0.0123,-0.0494,-0.0356,-0.0044,-0.0793,0.0242
EUR,IBS,HG01603,HG01603,-0.007,-0.0353,0.0217,0.0346,-0.0239,0.0215,0.0724,0.0336,0.0221,-0.0406,-0.0663,0.0154,-0.052,0.0032,0.0194
EUR,IBS,HG01605,HG01605,-0.0134,-0.0409,-0.0103,-0.0465,-0.0121,0.0101,0.0103,0.0073,0.0616,-0.0022,0.0182,-0.023,-0.0354,0.0246,-0.0014
EUR,IBS,HG01606,HG01606,-0.0253,-0.0438,0.0002,-0.0608,0.0549,-0.016,0.0116,-0.0298,0.0048,-0.0161,0.0014,0.0115,0.0192,0.011,-0.0116
EUR,IBS,HG01607,HG01607,-0.0137,-0.0428,-0.0172,0.0183,0.0787,0.0815,-0.0023,0.0047,0.0588,-0.0439,-0.0196,0.0003,-0.0414,0.051,0.0421
EUR,IBS,HG01608,HG01608,-0.0084,-0.0522,0.0027,-0.0262,0.0246,-0.0103,0.044,0.019,-0.0203,-0.0325,0.0069,-0.0288,-0.0399,-0.0145,0.0013
EUR,IBS,HG01610,HG01610,-0.0104,-0.0439,-0.0042,-0.021,0.0521,0.0167,0.0214,-0.0146,0.0024,0.0406,-0.0107,0.006,0.0184,-0.1011,-0.0473
EUR,IBS,HG01612,HG01612,-0.0199,-0.0247,0.0194,-0.0179,0.0587,0.0263,-0.0011,0.0067,-0.0244,0.007,0.0859,0.019,-0.034,-0.0464,-0.0124
EUR,IBS,HG01613,HG01613,-0.0034,-0.0516,0.0098,0.0074,-0.0001,0.0166,0.0207,0.0234,0.0027,-0.0114,0.0164,-0.0376,-0.0234,0.0279,-0.0063
EUR,IBS,HG01615,HG01615,-0.0051,-0.0472,-0.0094,0.0214,-0.0359,-0.037,-0.0281,0.0066,-0.089,-0.0287,-0.0376,0.0273,-0.0338,0.0533,-0.0041
EUR,IBS,HG01617,HG01617,-0.003,-0.0597,0.0005,0.0128,-0.039,0.0074,0.0252,0.0085,-0.0264,-0.015,-0.0242,0.0838,-0.0022,0.0023,-0.0326
EUR,IBS,HG01618,HG01618,-0.0133,-0.0592,0.0188,0.006,-0.0067,0.005,-0.0379,-0.0386,0.0195,0.0089,0.0056,-0.0383,-0.0344,0.0322,-0.0033
EUR,IBS,HG01619,HG01619,-0.0118,-0.053,0.0124,0.0294,-0.013,0.01,0.0223,0.0104,0.0439,0.0277,-0.0206,-0.0014,-0.0031,0.0006,-0.0334
EUR,IBS,HG01620,HG01620,-0.0163,-0.0662,0.01,0.0122,-0.0048,0.0054,0.0019,-0.0097,0.0069,0.0129,0.0057,-0.0048,-0.0091,-0.0448,0.0055
EUR,IBS,HG01623,HG01623,-0.0047,-0.0493,0.0071,-0.0208,0.0101,-0.0244,0.0326,-0.0045,0.0412,-0.0077,0.0039,0.0529,0.008,-0.0178,-0.0055
EUR,IBS,HG01624,HG01624,-0.0229,-0.0506,-0.0064,0.0021,0.0096,-0.0558,-0.0069,-0.0157,0.0052,-0.0149,0.0179,0.0005,-0.0012,0.0057,-0.0063
EUR,IBS,HG01625,HG01625,-0.015,-0.0325,-0.0168,0.0272,-0.0359,-0.023,-0.0308,0.0394,0.0338,0.0025,-0.0037,-0.0436,0.0495,-0.0615,-0.0096
EUR,IBS,HG01626,HG01626,-0.0168,-0.0413,0.0165,0.0191,0.0196,0.0486,-0.0096,0.0148,0.0191,-0.0311,0.0229,0.0656,-0.0252,0.026,-0.0012
EUR,IBS,HG01628,HG01628,-0.0099,-0.0605,0.0045,-0.0004,-0.0211,-0.0013,0.0139,0.03,-0.083,-0.0253,0.0038,-0.0321,0.0058,0.0115,-0.0003
EUR,IBS,HG01630,HG01630,-0.0093,-0.0404,-0.0185,-0.0563,-0.0194,-0.0218,-0.038,-0.0437,0.039,0.0404,0.0167,-0.0231,-0.0162,0.0297,0.0261
EUR,IBS,HG01631,HG01631,-0.0159,-0.0368,0.0075,-0.0065,0.0384,0.0157,0.0331,0.021,0.0432,-0.0035,-0.0526,0.0391,-0.0,-0.0009,-0.0232
EUR,IBS,HG01632,HG01632,-0.015,-0.0286,0.0267,-0.0176,-0.0183,-0.0299,0.017,-0.0326,-0.0322,0.0163,-0.0414,-0.042,-0.0087,0.0227,0.0055
EUR,IBS,HG01668,HG01668,-0.0081,-0.0541,0.0002,-0.0282,-0.0094,-0.0217,0.034,0.0014,-0.0285,-0.0116,-0.0191,0.0468,-0.0089,-0.0139,-0.0108
EUR,IBS,HG01669,HG01669,-0.0056,-0.0382,0.0361,0.021,-0.0289,0.027,-0.0174,0.0081,0.0338,-0.0288,0.0396,0.0657,0.0171,0.0205,-0.06
EUR,IBS,HG01670,HG01670,-0.014,-0.0433,-0.0046,-0.0558,-0.0483,-0.0077,-0.0251,-0.0064,-0.0242,-0.0191,-0.0239,0.0138,-0.0205,0.0339,-0.04
EUR,IBS,HG01672,HG01672,-0.0094,-0.0298,0.0129,-0.0123,0.0391,0.0041,0.012,0.02,0.0496,-0.0164,-0.0522,0.0492,0.0473,-0.0114,0.0281
EUR,IBS,HG01673,HG01673,-0.0211,-0.0333,-0.0001,-0.0546,0.0541,-0.0193,0.0416,0.0171,-0.0275,0.0093,-0.0537,-0.0095,0.0118,-0.0207,-0.0138
EUR,IBS,HG01675,HG01675,-0.0117,-0.052,0.015,-0.0295,0.0126,-0.0314,-0.0047,-0.017,0.0174,-0.0075,0.0029,0.0093,0.039,-0.0558,0.0445
EUR,IBS,HG01676,HG01676,-0.0171,-0.0185,0.0027,0.0719,-0.0002,-0.0608,-0.0316,0.0759,-0.0127,-0.054,0.0005,-0.0109,-0.0217,0.0043,0.0358
EUR,IBS,HG01678,HG01678,-0.0049,-0.0451,-0.0123,0.0315,-0.0037,-0.0219,0.0029,0.0142,-0.044,0.0527,-0.003,0.0001,-0.0097,-0.0521,-0.0218
EUR,IBS,HG01679,HG01679,-0.0125,-0.0471,0.0249,-0.035,-0.0009,-0.0172,-0.0008,0.0111,-0.0321,-0.031,-0.0018,-0.0145,0.0326,-0.0102,0.0022
EUR,IBS,HG01680,HG01680,-0.0226,-0.0505,-0.035,-0.0354,-0.0775,0.0327,-0.0336,0.0129,0.0277,0.0082,0.0287,-0.0212,0.0006,-0.0011,0.0132
EUR,IBS,HG01682,HG01682,-0.0102,-0.0358,0.0288,0.0178,-0.018,-0.0244,0.0016,0.0542,-0.0092,0.038,-0.0357,-0.0356,0.0752,0.0233,0.07
EUR,IBS,HG01684,HG01684,-0.0028,-0.0355,-0.0155,-0.002,-0.0008,-0.0518,0.0231,0.0176,-0.0089,-0.0167,-0.0069,0.0565,-0.0209,0.0366,-0.0055
EUR,IBS,HG01685,HG01685,-0.0085,-0.0439,0.0322,0.0143,-0.0108,0.0008,-0.0026,0.0218,0.0186,0.0334,-0.0186,-0.0101,0.0443,-0.0429,0.0299
EUR,IBS,HG01686,HG01686,-0.0203,-0.0489,0.0063,0.0228,0.026,0.0318,0.0029,0.01,0.0085,0.0369,-0.0311,-0.0098,0.0195,-0.0255,0.0067
EUR,IBS,HG01694,HG01694,-0.012,-0.041,0.0062,-0.0144,-0.0199,-0.0272,0.035,-0.0636,0.0135,0.005,0.0158,0.0505,0.0312,0.0176,0.0171
EUR,IBS,HG01695,HG01695,-0.0113,-0.0454,0.0221,0.0044,-0.0122,0.0084,-0.0039,0.022,-0.0469,0.0268,0.0449,0.0069,-0.0188,-0.0083,0.0078
EUR,IBS,HG01697,HG01697,-0.0117,-0.0555,0.0014,-0.0158,0.0058,-0.0104,0.0263,-0.021,0.0386,-0.0042,-0.0003,0.018,-0.0174,-0.0141,-0.0462
EUR,IBS,HG01699,HG01699,-0.0056,-0.0497,-0.0188,0.0256,-0.0066,-0.028,-0.0217,0.0052,-0.07,-0.0095,-0.042,-0.0479,-0.0725,-0.0085,-0.0079
EUR,IBS,HG01700,HG01700,-0.0112,-0.0498,-0.0101,0.0439,0.0172,-0.0146,0.0031,0.0178,0.0712,-0.0499,0.007,-0.0171,-0.0745,0.0403,0.0343
EUR,IBS,HG01702,HG01702,-0.0121,-0.0582,-0.015,0.0104,0.0293,0.038,0.0122,0.0067,-0.0428,0.0135,-0.0391,0.0001,-0.0182,-0.0856,0.0037
EUR,IBS,HG01704,HG01704,-0.0158,-0.0431,0.0138,-0.0153,-0.022,-0.0214,0.0348,-0.0606,0.0081,-0.01,0.01,0.0512,0.0284,0.0248,0.0157
EUR,IBS,HG01705,HG01705,-0.0064,-0.0506,-0.018,-0.0016,0.024,0.0024,-0.0188,-0.0392,-0.0027,0.0598,0.0262,0.0558,0.0543,0.0327,0.1204
EUR,IBS,HG01707,HG01707,-0.0135,-0.0498,0.0215,0.0024,-0.0103,-0.0073,-0.0157,-0.0082,-0.0066,0.0283,0.0621,0.0439,-0.0008,0.0148,0.0815
EUR,IBS,HG01708,HG01708,-0.0037,-0.0311,-0.0442,0.003,0.0419,-0.0228,0.0172,-0.009,-0.0598,-0.0242,0.0496,0.0088,0.0258,0.0662,-0.0336
EUR,IBS,HG01709,HG01709,-0.0219,-0.0144,0.0057,0.0072,0.0445,-0.0283,-0.0134,0.013,-0.0072,0.0535,0.0199,0.0367,0.0273,0.0207,0.0247
EUR,IBS,HG01710,HG01710,-0.0009,-0.0517,0.0077,0.007,-0.0203,0.0155,0.0124,0.0462,-0.0243,-0.0895,-0.0281,-0.0078,-0.0206,0.0391,0.0095
EUR,IBS,HG01746,HG01746,-0.0197,-0.0449,-0.0015,-0.0169,-0.0474,0.0224,-0.019,0.0349,-0.0363,-0.0059,0.042,-0.0044,-0.0294,-0.0024,0.0203
EUR,IBS,HG01747,HG01747,-0.0082,-0.0524,0.0073,-0.0218,0.0093,-0.0211,0.0303,-0.0068,0.04,-0.0079,-0.0109,0.0633,-0.0124,-0.011,0.0156
EUR,IBS,HG01756,HG01756,-0.0133,-0.0652,0.0046,0.0066,-0.0101,0.0048,0.0117,0.01,-0.0374,0.0005,-0.0104,-0.0123,-0.0185,-0.0391,0.0097
EUR,IBS,HG01757,HG01757,-0.0066,-0.0565,0.0157,0.0162,-0.0169,0.0125,0.0121,-0.0042,0.0099,0.0242,0.013,0.0305,0.0248,-0.0384,-0.0631
EUR,IBS,HG01761,HG01761,-0.0069,-0.0385,0.0103,-0.0077,0.0058,-0.0145,0.039,0.0035,0.0491,0.0573,-0.0172,0.0067,0.0065,-0.0097,-0.0577
EUR,IBS,HG01762,HG01762,-0.0095,-0.0591,0.0084,0.011,-0.0027,0.0061,0.0042,-0.0103,0.008,0.05,0.0123,-0.0007,-0.0002,-0.0546,-0.0064
EUR,IBS,HG01765,HG01765,-0.0193,-0.0405,0.0267,0.0161,-0.0303,0.0148,0.0184,-0.0127,-0.0529,-0.0209,0.0339,-0.0032,-0.028,-0.0048,0.0298
EUR,IBS,HG01766,HG01766,-0.0139,-0.041,-0.0003,-0.0494,-0.0222,0.0003,-0.0135,0.0057,0.0263,-0.0007,0.0025,-0.0123,0.027,-0.0714,-0.0084
EUR,IBS,HG01767,HG01767,-0.0179,-0.0552,0.0011,0.012,0.0224,0.0311,-0.015,-0.0148,-0.0023,-0.0008,0.0227,-0.0068,0.038,0.0051,-0.008
EUR,IBS,HG01768,HG01768,-0.009,-0.0515,0.0058,-0.0307,-0.0095,-0.014,0.0418,0.0386,-0.0495,-0.0659,-0.0325,0.0272,-0.0342,0.0429,-0.0091
EUR,IBS,HG01770,HG01770,-0.0163,-0.0662,0.01,0.0122,-0.0048,0.0054,0.0019,-0.0097,0.0069,0.0129,0.0057,-0.0048,-0.0091,-0.0448,0.0055
EUR,IBS,HG01771,HG01771,-0.0115,-0.0473,0.0222,0.0268,-0.0349,0.0152,0.0128,-0.0371,0.0161,-0.0412,-0.0114,0.0209,0.0291,-0.0551,-0.0073
EUR,IBS,HG01773,HG01773,-0.0084,-0.0478,-0.0036,0.0325,-0.0184,-0.0263,-0.0323,-0.0113,-0.0548,-0.0262,0.006,-0.0041,-0.02,0.0534,-0.0472
EUR,IBS,HG01775,HG01775,-0.0147,-0.0557,0.0056,-0.0365,0.0018,-0.033,0.0144,-0.0064,-0.0373,-0.0009,0.0067,0.0089,0.0119,0.0212,0.0441
EUR,IBS,HG01776,HG01776,-0.0167,-0.061,0.0267,0.0031,-0.0136,-0.0005,-0.0423,-0.0329,-0.0018,0.0075,0.0,-0.0163,-0.0177,0.0168,0.0018
EUR,IBS,HG01777,HG01777,-0.0046,-0.0325,0.0135,-0.0169,-0.0807,0.0024,-0.0596,-0.0034,-0.0206,0.0296,-0.0689,0.045,-0.0041,0.0835,-0.0321
EUR,IBS,HG01779,HG01779,-0.0083,-0.0509,0.0013,-0.0228,-0.0052,-0.0165,0.0286,-0.0011,-0.0071,-0.03,0.0139,-0.0019,0.0068,0.0365,-0.0562
EUR,IBS,HG01781,HG01781,-0.0208,-0.0413,-0.0355,-0.0252,-0.0218,-0.0516,-0.0215,-0.0115,0.0152,0.0091,0.0265,0.0126,0.0133,0.0109,0.0341
EUR,IBS,HG01783,HG01783,-0.0114,-0.0521,-0.0076,0.0436,0.0168,-0.018,0.0087,0.0256,0.0524,-0.0378,-0.014,0.0068,-0.0711,-0.0267,0.0327
EUR,IBS,HG01784,HG01784,-0.0105,-0.0353,0.0349,0.0179,-0.0015,0.0087,0.0027,0.0556,-0.0395,-0.0084,0.0252,-0.0443,0.0109,-0.0397,0.012
EUR,IBS,HG01785,HG01785,-0.02,-0.043,0.0106,0.0451,-0.0091,-0.0289,-0.0087,0.0181,0.0062,0.0391,-0.0015,-0.0139,0.0191,0.0179,-0.0069
EUR,IBS,HG01786,HG01786,-0.0123,-0.0405,0.008,0.0358,-0.014,0.0073,0.0412,-0.0286,0.0381,0.0431,-0.0108,-0.049,-0.0082,-0.0288,0.0122
EUR,IBS,HG02219,HG02219,-0.0068,-0.0415,-0.0099,-0.0065,-0.0075,-0.0594,-0.0136,-0.0174,-0.0381,-0.0104,-0.0403,0.0407,-0.0369,-0.0045,-0.0275
EUR,IBS,HG02220,HG02220,-0.017,-0.0465,-0.0044,-0.0528,-0.0235,-0.0088,-0.0307,-0.0249,0.0164,0.0178,-0.015,-0.0176,-0.0319,-0.0392,-0.0169
EUR,IBS,HG02221,HG02221,-0.0145,-0.0501,0.0001,0.0385,0.0012,-0.027,-0.0328,-0.0036,-0.0024,-0.0433,0.0471,-0.037,0.0347,0.0022,0.0046
EUR,IBS,HG02223,HG02223,-0.0127,-0.0225,-0.0202,0.0579,0.0508,0.0074,-0.0061,0.0171,0.0124,0.0457,0.0439,-0.0367,-0.0172,-0.0132,-0.0129
EUR,IBS,HG02224,HG02224,-0.0167,-0.0396,0.0348,0.0254,-0.0253,0.004,0.0026,-0.041,0.0051,0.0347,-0.0434,-0.0357,-0.0162,-0.0269,0.0054
EUR,IBS,HG02230,HG02230,-0.0147,-0.0315,0.0108,0.048,0.0101,-0.0334,-0.0008,0.0408,0.0278,0.0309,0.0104,0.0236,-0.0342,-0.0236,0.0596
EUR,IBS,HG02231,HG02231,-0.0139,-0.0367,0.0351,-0.0247,0.0031,-0.0298,-0.0151,-0.0147,0.0128,0.0615,-0.0202,-0.0237,0.0071,0.0208,-0.0221
EUR,IBS,HG02232,HG02232,0.0083,-0.0394,-0.0286,-0.0065,-0.0105,0.0273,0.0164,0.058,0.0613,-0.0415,-0.02,-0.0515,-0.0517,-0.0942,0.0234
EUR,IBS,HG02233,HG02233,-0.0135,-0.0352,0.043,0.0199,-0.0243,-0.0022,-0.0341,0.0047,0.0111,0.0388,0.0071,0.0254,-0.0146,0.0286,-0.0274
EUR,IBS,HG02235,HG02235,-0.0233,-0.0315,-0.0124,0.0074,0.0513,-0.0175,-0.0143,-0.0044,-0.0082,0.0008,0.0224,0.0299,-0.0234,-0.0518,-0.0091
EUR,IBS,HG02236,HG02236,-0.0106,-0.0582,0.0211,0.0026,-0.0319,0.0028,-0.0268,-0.0124,-0.04,-0.0159,-0.0244,0.0171,-0.0195,0.0383,-0.0282
EUR,IBS,HG02238,HG02238,-0.0123,-0.0641,0.0063,0.0082,-0.0078,0.0002,0.004,-0.0127,0.0055,0.0194,0.0086,0.0096,-0.0079,-0.035,0.0315
EUR,IBS,HG02239,HG02239,-0.0167,-0.0195,0.0232,-0.0159,0.0295,0.0164,-0.0084,-0.0608,-0.015,0.0052,0.0116,0.0006,-0.0191,-0.0543,-0.0244
